Trial_ID,Scenario,Lane_Type,Peak_Speed_Variance,Amplification_Factor,Settling_Time_sec
56,4,LAR_2,10.1144,3.2258,25.2667
56,4,LAR_3,9.0439,3.2258,23.4667
56,4,LAR_4,8.6009,3.2258,22.6167
56,4,LAR_5,8.4804,3.2258,22.2500
57,4,Human,12.8913,4.5958,60.0167
57,4,LAR_1,11.0211,2.2979,26.7167
57,4,LAR_2,9.2333,2.2979,23.4500
57,4,LAR_3,8.3279,2.2979,21.7833
57,4,LAR_4,7.9381,2.2979,21.0167
57,4,LAR_5,7.8286,2.2979,20.6500
58,4,Human,13.7264,1.0000,60.0167
58,4,LAR_1,10.2673,2.1030,25.0000
58,4,LAR_2,8.5533,2.1030,21.9667
58,4,LAR_3,7.6360,2.1030,20.4167
58,4,LAR_4,7.2618,2.1030,19.7000
58,4,LAR_5,7.1605,2.1030,19.3667
59,4,Human,12.6177,4.1148,60.0167
59,4,LAR_1,11.0855,2.0574,27.0500
59,4,LAR_2,9.1392,2.0574,23.7833
59,4,LAR_3,8.0762,2.0574,22.1333
59,4,LAR_4,7.6677,2.0574,21.3500
59,4,LAR_5,7.5601,2.0574,21.0167
60,4,Human,14.9188,1.0244,60.0167
60,4,LAR_1,11.8539,2.4822,28.6000
60,4,LAR_2,9.9407,2.4822,25.0667
60,4,LAR_3,9.0429,2.4822,23.2667
60,4,LAR_4,8.7116,2.4822,22.4167
60,4,LAR_5,8.6233,2.4822,22.0167
61,4,Human,12.9571,1.0000,60.0167
61,4,LAR_1,11.5007,2.3292,27.8500
61,4,LAR_2,9.6508,2.3292,24.4500
61,4,LAR_3,8.7512,2.3292,22.7167
61,4,LAR_4,8.3650,2.3292,21.9000
61,4,LAR_5,8.2528,2.3292,21.5167
62,4,Human,12.1257,1.1486,60.0167
62,4,LAR_1,10.7040,2.3475,25.9000
62,4,LAR_2,8.8385,2.3475,22.7667
62,4,LAR_3,7.8151,2.3475,21.1833
62,4,LAR_4,7.4238,2.3475,20.4333
62,4,LAR_5,7.3197,2.3475,20.1167
63,4,Human,14.7635,1.0000,59.8333
63,4,LAR_1,12.1993,5.8102,28.9000
63,4,LAR_2,10.2863,5.8102,25.3167
63,4,LAR_3,9.3401,5.8102,23.5000
63,4,LAR_4,8.9223,5.8102,22.6333
63,4,LAR_5,8.8012,5.8102,22.2333
64,4,Human,16.6960,1.0000,60.0167
64,4,LAR_1,11.6624,5.1075,27.6500
64,4,LAR_2,9.7249,5.1075,24.2833
64,4,LAR_3,8.6362,5.1075,22.5833
64,4,LAR_4,8.2145,5.1075,21.7667
64,4,LAR_5,8.0993,5.1075,21.4000
65,4,Human,12.2706,1.0000,60.0167
65,4,LAR_1,11.4146,2.0235,27.8667
65,4,LAR_2,9.5581,2.0235,24.4667
65,4,LAR_3,8.6732,2.0235,22.7333
65,4,LAR_4,8.3087,2.0235,21.9167
65,4,LAR_5,8.2022,2.0235,21.5500
66,4,Human,13.5534,4.3033,60.0167
66,4,LAR_1,10.5816,2.1517,25.7667
66,4,LAR_2,8.5531,2.1517,22.6833
66,4,LAR_3,7.5390,2.1517,21.1333
66,4,LAR_4,7.1546,2.1517,20.3833
66,4,LAR_5,7.0545,2.1517,20.0833
67,4,Human,12.2074,1.0863,60.0167
67,4,LAR_1,11.1121,2.1168,27.0667
67,4,LAR_2,9.0579,2.1168,23.8333
67,4,LAR_3,7.9966,2.1168,22.2000
67,4,LAR_4,7.5904,2.1168,21.4167
67,4,LAR_5,7.4839,2.1168,21.0833
68,4,Human,11.8402,1.0521,60.0167
